iter	Passed	Remaining
548	1900	1561
549	1903	1557
550	1907	1554
551	1909	1550
552	1912	1546
553	1915	1542
554	1918	1538
555	1921	1534
556	1925	1531
557	1929	1528
558	1932	1524
559	1935	1520
560	1939	1517
561	1943	1514
562	1946	1510
563	1949	1506
564	1953	1503
565	1956	1500
566	1960	1497
567	1964	1494
568	1967	1490
569	1970	1486
570	1974	1483
571	1977	1479
572	1981	1476
573	1984	1472
574	1987	1469
575	1991	1465
576	1993	1461
577	1997	1458
578	2000	1454
579	2004	1451
580	2008	1448
581	2011	1444
582	2015	1441
583	2019	1438
584	2023	1435
585	2026	1431
586	2030	1428
587	2034	1425
588	2038	1422
589	2041	1418
590	2045	1415
591	2048	1411
592	2052	1408
593	2055	1405
594	2059	1401
595	2062	1398
596	2066	1394
597	2069	1391
598	2073	1387
599	2077	1384
600	2080	1380
601	2083	1377
602	2087	1374
603	2090	1370
604	2094	1367
605	2098	1364
606	2102	1360
607	2105	1357
608	2108	1353
609	2111	1350
610	2113	1345
611	2116	1342
612	2119	1338
613	2122	1334
614	2126	1330
615	2129	1327
616	2132	1323
617	2135	1319
618	2138	1316
619	2142	1312
620	2145	1309
621	2149	1305
622	2152	1302
623	2156	1299
624	2159	1295
625	2163	1292
626	2166	1289
627	2170	1285
628	2173	1282
629	2177	1278
630	2180	1275
631	2184	1271
632	2187	1268
633	2191	1265
634	2195	1261
635	2199	1258
636	2202	1255
637	2206	1251
638	2209	1248
639	2212	1244
640	2215	1240
641	2218	1236
642	2221	1233
643	2224	1229
644	2228	1226
645	2231	1222
646	2234	1219
647	2237	1215
648	2240	1211
649	2243	1207
650	2246	1204
651	2249	1200
652	2252	1196
653	2255	1193
654	2259	1189
655	2262	1186
656	2265	1182
657	2268	1178
658	2271	1175
659	2274	1171
660	2277	1167
661	2280	1164
662	2283	1160
663	2286	1156
664	2289	1153
665	2292	1149
666	2295	1145
667	2298	1142
668	2301	1138
669	2304	1135
670	2308	1131
671	2311	1128
672	2314	1124
673	2317	1121
674	2320	1117
675	2323	1113
676	2327	1110
677	2331	1107
678	2334	1103
679	2338	1100
680	2341	1096
681	2345	1093
682	2349	1090
683	2352	1086
684	2356	1083
685	2359	1080
686	2363	1076
687	2367	1073
688	2370	1070
689	2374	1066
690	2378	1063
691	2381	1059
692	2385	1056
693	2388	1053
694	2392	1049
695	2395	1046
696	2399	1043
697	2403	1039
698	2406	1036
699	2410	1032
700	2414	1029
701	2418	1026
702	2421	1023
703	2426	1020
704	2429	1016
705	2432	1013
706	2435	1009
707	2439	1006
708	2443	1002
709	2446	999
710	2449	995
711	2453	992
712	2456	988
713	2460	985
714	2463	981
715	2466	978
716	2469	974
717	2473	971
718	2476	967
719	2479	964
720	2482	960
721	2486	957
722	2489	953
723	2492	950
724	2496	946
725	2499	943
726	2502	939
727	2506	936
728	2509	932
729	2512	929
730	2515	925
731	2519	922
732	2522	918
733	2525	915
734	2528	911
735	2531	907
736	2534	904
737	2538	901
738	2541	897
739	2544	894
740	2548	890
741	2551	887
742	2554	883
743	2557	880
744	2560	876
745	2563	872
746	2566	869
747	2569	865
748	2572	861
749	2575	858
750	2578	854
751	2581	851
752	2584	847
753	2587	844
754	2590	840
755	2593	837
756	2597	833
757	2600	830
758	2603	826
759	2606	823
760	2609	819
761	2612	816
762	2615	812
763	2618	809
764	2621	805
765	2625	801
766	2628	798
767	2631	795
768	2635	791
769	2637	787
770	2640	784
771	2643	780
772	2647	777
773	2650	773
774	2652	770
775	2657	767
776	2660	763
777	2664	760
778	2667	756
779	2671	753
780	2674	750
781	2678	746
782	2681	743
783	2685	739
784	2689	736
785	2692	733
786	2696	729
787	2699	726
788	2703	723
789	2707	719
790	2710	716
791	2714	712
792	2717	709
793	2721	705
794	2724	702
795	2727	699
796	2731	695
797	2734	692
798	2738	688
799	2741	685
800	2744	681
801	2748	678
802	2751	675
803	2755	671
804	2758	668
805	2761	664
806	2765	661
807	2768	657
808	2772	654
809	2775	651
810	2779	647
811	2782	644
812	2785	640
813	2788	637
814	2791	633
815	2795	630
816	2798	626
817	2801	623
818	2804	619
819	2807	616
820	2810	612
821	2813	609
822	2816	605
823	2819	602
824	2822	598
825	2825	595
826	2829	591
827	2832	588
828	2835	584
829	2838	581
830	2840	577
831	2843	574
832	2846	570
833	2849	567
834	2851	563
835	2854	560
836	2857	556
837	2860	552
838	2862	549
839	2865	545
840	2868	542
841	2871	538
842	2874	535
843	2877	531
844	2879	528
845	2882	524
846	2885	521
847	2888	517
848	2890	514
849	2893	510
850	2896	507
851	2899	503
852	2902	500
853	2904	496
854	2907	493
855	2910	489
856	2913	486
857	2915	482
858	2918	479
859	2921	475
860	2924	472
861	2926	468
862	2929	465
863	2932	461
864	2934	458
865	2937	454
866	2940	451
867	2942	447
868	2945	444
869	2948	440
870	2951	437
871	2954	433
872	2956	430
873	2960	426
874	2963	423
875	2966	419
876	2970	416
877	2973	413
878	2976	409
879	2979	406
880	2982	402
881	2985	399
882	2988	396
883	2992	392
884	2995	389
885	2998	385
886	3002	382
887	3005	379
888	3008	375
889	3012	372
890	3014	368
891	3018	365
892	3021	362
893	3024	358
894	3027	355
895	3030	351
896	3034	348
897	3037	344
898	3040	341
899	3043	338
900	3045	334
901	3048	331
902	3052	327
903	3055	324
904	3058	321
905	3061	317
906	3063	314
907	3068	310
908	3071	307
909	3074	304
910	3077	300
911	3080	297
912	3083	293
913	3086	290
914	3089	287
915	3092	283
916	3095	280
917	3099	276
918	3102	273
919	3105	270
920	3108	266
921	3111	263
922	3114	259
923	3118	256
924	3121	253
925	3124	249
926	3126	246
927	3129	242
928	3133	239
929	3136	236
930	3139	232
931	3142	229
932	3146	225
933	3149	222
934	3152	219
935	3155	215
936	3158	212
937	3161	208
938	3164	205
939	3167	202
940	3170	198
941	3173	195
942	3176	192
943	3179	188
944	3182	185
945	3185	181
946	3188	178
947	3191	175
948	3193	171
949	3196	168
950	3199	164
951	3202	161
952	3204	158
953	3207	154
954	3210	151
955	3213	147
956	3216	144
957	3218	141
958	3221	137
959	3224	134
960	3227	130
961	3229	127
962	3232	124
963	3235	120
964	3238	117
965	3240	114
966	3243	110
967	3246	107
968	3249	103
969	3251	100
970	3254	97
971	3257	93
972	3259	90
973	3262	87
974	3265	83
975	3267	80
976	3270	76
977	3273	73
978	3276	70
979	3279	66
980	3282	63
981	3285	60
982	3287	56
983	3290	53
984	3293	50
985	3296	46
986	3299	43
987	3302	40
988	3304	36
989	3307	33
990	3310	30
991	3313	26
992	3316	23
993	3319	20
994	3322	16
995	3325	13
996	3329	10
997	3332	6
998	3335	3
999	3338	0
